,,,,,,,,,,,,,,,,Normalised abundance,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,C_Norm,,,,,,A_LD,,,,,,B_HD,,,,,,QC,,,
Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Drift time (ms),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,C_Norm_1,C_Norm_2,C_Norm_3,C_Norm_4,C_Norm_5,C_Norm_6,A_LD_1,A_LD_2,A_LD_3,A_LD_4,A_LD_5,A_LD_6,B_HD_1,B_HD_2,B_HD_3,B_HD_4,B_HD_5,B_HD_6,D_QC_1,D_QC_2,D_QC_3,D_QC_4
6.23_679.0948m/z,,679.0947898,1,6.230266667,7.775797829,0.126166667,0,0,0,Infinity,B_HD,C_Norm,100 - 30.2,673.7999665,4.3,0,0,0,0,0,0,0,0,0,0,0,0,688.533501,670.8452319,641.988102,700.7476248,637.0694478,703.6158917,104.5190035,113.3538353,133.7386489,126.8701443
6.22_557.1310m/z,,557.1309973,1,6.223133333,5.669852584,0.126166667,0,0,0,Infinity,B_HD,C_Norm,100 - 21,523.2586653,5.01,0,0,0,0,0,0,0,0,0,0,0,0,519.7759137,549.6942391,555.8321004,522.0307509,505.9703426,486.2486454,245.9087094,207.2758049,191.8541836,200.2599859
6.23_309.2396m/z,,309.2396424,1,6.230266667,3.13191857,0.126166667,0,0,0,Infinity,B_HD,C_Norm,100 - 8.82,517.9049128,4.47,0,0,0,0,0,0,0,0,0,0,0,0,554.3602212,524.9820442,518.9490208,518.3576685,483.3948092,507.3857129,142.4916505,135.926974,122.8701096,125.4944375
5.17_138.0919m/z,,138.0918776,1,5.173033333,1.727955073,0.133316667,0,0,0,Infinity,B_HD,C_Norm,100 - 3.81,506.1430134,2.94,0,0,0,0,0,0,145.0446008,155.3062718,137.103044,136.4436603,137.7209446,160.4043179,497.0636181,500.0336373,490.3096913,499.9653759,522.8780374,526.6077204,236.6873196,240.6237205,249.0475777,274.5487972
6.22_559.1293m/z,,559.129291,1,6.223133333,5.669852584,0.133316667,0,0,0,Infinity,B_HD,C_Norm,100 - 18.2 - 10,484.3394586,6.25,0,0,0,0,0,0,0,0,0,0,0,0,455.8445544,493.6552426,502.8373997,522.937801,489.215865,441.5458891,188.9209333,194.2709838,180.6060639,152.3302686
4.81_329.0989m/z,,329.0988608,1,4.808783333,3.185917166,0.1476,0,0,0,Infinity,B_HD,A_LD,100 - 7.01,479.0371281,7.82,0.064226457,0.122692894,0,0.249938677,1.23E-06,0,0,0,0,0,0,0,546.6431697,495.1399492,466.9527517,469.855867,449.2347758,446.3962552,127.5747177,101.3635251,105.3977026,123.8630063
5.18_180.2158m/z,,180.2157537,1,5.180166667,1.997948053,0.133316667,0,0,0,Infinity,B_HD,C_Norm,100 - 1.66,437.5220807,2.57,0,0,0,0,0,0,147.4807865,150.6549739,135.5917179,149.363638,145.7338161,166.9444193,440.3167869,416.6930431,433.74346,441.9641534,447.5596203,444.8554205,223.3498594,228.170979,227.0712976,239.3876844
6.21_412.0388m/z,,412.0388063,1,6.20885,4.049894703,0.15475,0,0,0,Infinity,B_HD,C_Norm,100 - 9.46,346.6260128,6.73,0,0,0,0,0,0,0,0,0,0,0,0,355.7079638,330.5871073,321.7735811,361.0082535,381.8073181,328.8718531,132.6110845,142.6346182,175.3025855,175.6428041
7.46_151.0189n,151.0189025,184.0528294,1,7.46365,1.889950861,0.126166667,0,0,0,Infinity,B_HD,C_Norm,100 - 2.54,336.0642215,4.59,0,0,0,0,0,0,0,0,0,0,0,0,346.7017073,327.433904,335.4347787,350.3249504,309.8676251,346.6223635,74.88846436,72.32779304,78.37115926,82.59951678
7.12_370.0758n,370.0758288,409.0368603,1,7.118466667,3.563907338,0.10475,0,0,0,Infinity,B_HD,C_Norm,100 - 9.99 - 0.281,265.5570102,8.98,0,0,0,0,0,0,0,0,0,0,0,0,295.8100085,248.8696786,265.5397155,230.0457092,267.8869665,285.1899832,47.26793926,49.7923357,38.18850305,41.81140044
